abandon[2'b9nd2n]vt. 放弃
indiscernible[indi's2:n2bl]a. 分辨不清的
indispensable[indis'pens2bl]a. 必不可少的；必需的
individuality[individju'9liti]n. 个性
induce[in'dju:s]vt. 导致；引诱
industrious[in'd3stri2s]a. 勤劳的
inedible[in'edibl]a. 不可食用的
inefficient[ini'fi62nt]a. 无效率
inequity[in'ekwiti]n. 不公正，不公平
inexorably[]ad. 不可阻挡地；不容变更地
inextricably[]ad. 无法摆脱地
infant['inf2nt]n. 幼儿
inferiority[infi2ri'1:iti]n. 自卑感
infertile[in'f2:tail]a. 不肥沃的；贫瘠的
infiltration[infil'trei62n]n. 渗入
infinitely['infinitli]ad. 无限地
inflation[in'flei62n]n. 通货膨胀
influence['influ2ns]n. 有影响的人物
influx['infl3ks]n. 涌入
infrared['infr2'red]a. & n. 红外线(的)
ingenuity[ind7i'nju(:)iti]n. 独创性；设计创造力
ingredient[in'gri:dj2nt]n. 成分；原料
inhabit[in'h9bit]vt. 栖居于
inhabitant[in'h9bit2nt]n. 居民
inherent[in'hi2r2nt]a. 生来的，固有的
inherit[in'herit]vt. 继承
initial[i'ni62l]a. 最初的，首先的，a. (姓名的)首字母
initially[i'ni62li]ad. 最初地，ad. 首先
initiate[i'ni6ieit]vt. 发起，开始
inject[in'd7ekt]vt. 注射(入)
injection[in'd7ek62n]n. 注射
injustice[in'd73stis]n. 不公正，非正义
inland['inl2nd, in'l9nd]a. 内陆的；内地的
innate[i'neit]a. 天生的，固有的
innocent['in2snt]a. 单纯的；清白无辜的
innovation[in2u'vei62n]n. 革新
innovative[]a. 创新的
innovator['inouveit2]n. 发明者
innumerable[i'nju:m2r2bl]a. 无数的，数不清的
inquire[in'kwai2]vt. 询问
insect['insekt]n. 昆虫
insert[in's2:t, 'ins2:t]vt. 插入
insight['insait]n. 洞察力，深入了解
insightful['insaitf2l]a. 有深刻见解的，有洞察力的
insist[in'sist]vt. 坚持认为
inspect[in'spekt]vt. 检验
inspiration[insp2'rei62n]n. 灵感
inspire[in'spai2]vt. 使生灵感；使感悟
inspiring[in'spai2ri8]a. 鼓舞人心的；启发灵感的
instability[inst2'biliti]n. 不稳定性
install[in'st0:l]vt. 安装
instantaneous[inst2n'teinj2s]a. 即刻的；瞬间的
instinct['insti8kt]n. 本能；直觉
instinctive[in'sti8ktiv]a. 本能的
institute['institju:t]vt. 建立
institution[insti'tju:62n]n. 机构
instruct[in'str3kt]vt. 指示；分咐
instruction[in'str3k62n]n. 教育；教学
insufficient[ins2'fi62nt]a. 不足的
insulation[insju'lei62n]n. 隔热
insulator['insjuleit2]n. 绝缘
insulting[in's3lti8]a. 侮辱的
intact[in't9kt]a. 完好无损的
integrated['int2greitid]a. 整体的；相互协调的，vt. 结合
intelligence[in'telid72ns]n. 智力；才智
intelligent[in'telid72nt]a. 聪明的
intelligible[in't9lid72bl]a. 可理解的；清晰的
intend[in'tend]vt. 打算；计划
intense[in'tens]a. 强烈的， 紧张的
intensity[in'tensiti]n. 强度
intent[in'tent]n. 意图
intention[in'ten62n]n. 意图
interact[int2'r9kt]vt. 横切；和...交叉，vi. 相互作用
interior[in'ti2ri2]a. 内部；深层，a. & n. 内部(的)(意指市区)
interject[int2'd7ekt]vt. (突然)插入
interlocal[]a. 地区间的
intermittent[int2'mitnt]a. 间歇的
internal[in't2:nl]a. 内在的；内部的
interplanetary[int2'pl9n2t2ri]a. 星际间的
interplay['int2plei]n. 相互影响；相互作用
interpret[in't2:prit]vt. 解释；阐明，翻译
interpretation[int2:pri'tei62n]n. 解释；表演，翻译
intersperse[int2'sp2:s]v. 穿插；散布
interstellar[int2'stel2]a. 星际的
interval['int2v2l]n. 间隙
intervene[int2'vi:n]vi. 介入；插入
intestine[in'testin]n. 脉
intimacy['intim2si]n. 熟悉；密切
intimate['intimit]a. 熟悉的；亲密的
intrepid[in'trepid]a. 勇敢的
intricate['intrikit]a. 复杂的
intriguing[in'tri:gi8]a. 引起好奇心的；有迷惑力的
intrinsic[in'trinsik]a. 固有的，内在的
introspective[introu'spektiv]a. 内省的；反省的
invade[in'veid]vt. 侵入
invariable[in'v/2ri2bl]a. 不变的，永恒的
invasion[in'vei72n]n. 侵犯
invertebrate[in'v2:t2brit]a. 无脊椎动物
investigate[in'vestigeit]vt. 调查
investment[in'vestm2nt]n. 投资
investor[in'vest2]n. 投资者
invisible[in'viz2bl]a. 不可见的
invite[in'vait]vt. 吸引
invite[in'vait]vt. 征求；欢迎
inviting[in'vaiti8]a. 诱人的
involve[in'v0lv]vt. 使卷入；使参加，包括
iodine['ai2di:n]n. 碘
ironworks['ai2nw2:ks]n. (用单或复)钢铁厂
irony['ai2r2ni]n. 冷嘲热讽
irradiate[i'reidieit]vt. 照耀；使发光
irrational[i'r962nl]a. 不合情理的
irregular[i'regjul2]a. 不规则的
irreversible['iri'v2:s2bl]a. 不可倒转的；不可挽回的；不可撤消的
irrigate['irigeit]vt. 灌溉
irrigation[iri'gei62n]n. 灌溉
isolated[]a. 与世隔绝的
issue['i6u:]n. 问题vt. 发行；颁布
item['ait2m]n. 条，项目；条款
jack[d79k]n. 千斤顶
jagged[]a. 参差不齐的；锯齿状的
jail[d7eil]vt. 把...关进监狱；监禁
jazz[d79z]n. 爵士乐
jellyfish['d7/lifi6]n. 海蜇
jeweler['d7u:2l2]n. 宝石商
jolt[d72ult]n. 少量；震惊
jostle['d70sl]vt. 挤，推；搅扰；同...竞争
judge[d73d7]v. 判断
judgment['d73d7m2nt]n. 判断
juggle[d73gl]vt. 变戏法
juice[d7u:s]n. 液
jumble['d73mbl]vt. 乱堆；使杂乱
jungle['d738gl]n. 丛林
Jupiter['d7u:pit2]木星
jury['d7u2ri]n. 陪审团
justify['d73stifai]vt. 证明...合理
juvenile['d7u:vinail]n. 幼苗，幼体；少年
kerosene['ker2si:n]n. 煤油
kiln[kiln]n. 窑，窑房
kilocalorie['kil2k9l2ri]n. 千卡
kilowatt['kil2w0t]n. 千瓦
kinsman['kinzm2n]n. 男亲属
kiosk[ki'0sk]n. 亭子
knight[nait]n. 骑士
knit[nit]v. 编织
knuckle['n3kl]n. 关节
krill[kril]n. 鳞虾
labor-saving[]节省劳力的；减轻劳动强度的
laboriously[]ad. 艰难地，辛勤地
lace[leis]n. 带子
lacquer['l9k2]n. 漆；漆器
lad[l9d]n. 小伙子
laden['leidn]a. 装满的；充满的
lag[l9g]v. 衰退；减退；落后
landmark['l9ndma:k]n. 风景点；里程碑
landscape['l9ndskeip]n. 地貌；风景
landscaping[]n. 园林改造；环境美化
lantern['l9nt2n]n. 灯笼
larva['la:v2]n. 幼体
larvae[]n. (larva的复数)幼虫；幼体
lash[l96]vt. 捆绑
last[la:st]vi. 持续
lathe[lei5]n. 车床
launch[l0:nt6]vt. 创办；发起
lavish['l9vi6]a. 浪费的；过度的
layer['lei2]n. 层
layer['lei2]n. 层
leading['li:di8]a. 前列的；领导的
ledge[led7]n. 暗礁；岩石的突出部分
legendary['led72nd2ri]a. 传奇的
legendary['led72nd2ri]a. 闻名遐尔的；传说中的
legislative['led7isl2tiv]a. 立法的
legislature['led7isleit62]n. 议会；立法机关
leisure['le72]n. 消遣
lens[lenz]n. 透镜
lessen['lesn]vt. 减少；减轻
lesser['les2]a. 较小的，次要的
level['levl]vt. 夷平
levy['levi]vt. 征收；强集
liable['lai2bl]a. 可能遭到...的
liberal['lib2r2l]a. 自由的
liberate['lib2reit]vt. 释放
lifeblood['laifbl3d]n. 生命线；命根子
light[lait]vt. 点燃；照亮
lighthouse['laithaus]n. 灯塔
likely['laikli]a. 很有可能的
likewise['laikwaiz]ad. 同样地；也
limb[lim]n. 肢
limestone['laimst2un]n. 石灰石
line[lain]n. 种类
linen['linin]n. 亚麻布
linguist[li8'gwist]n. 语言学家
link[li8k]vt. 连接
linkage['li8kid7]n. 连接
linkup['li8k3p]n. 连接
lipid['lipid]n. 脂；脂质
literally['lit2r2li]ad. 字面上，确实地，真正地
literary['lit2r2ri]a. 文学(上)的
literaryaward[]文学奖
literature['lit2rit62]n. 文学
lithograph[li42gr9f]n. 平板画
lithosphere['li42sfi2]n. 岩石圈；陆界
little-understood[]尚不确知的
liveliness['laivlinis]n. 活力
lizard['liz2d]n. 晰蜴
load[l2ud]vt. 装载
loan[l2un]vt. 借贷
lobster['l0bst2]n. 龙虾
locate[l2u'keit]vt. 测定；找出...的位置，使...坐落于
location[l2u'kei62n]n. 位置，场地；外景拍摄地
lock[l0k]n. 水闸；水门
locomote['louk2'mout]vi. 走动；移动
locomotive['l2uk2m2utiv]n. 机车；火车头
lodge[l0d7]n. 兽穴
loft[l0ft]n. 鸽房；鸽群
log[l0g]vt. 航行
logger['l0:g2]n. 代木工
lone[l2un]a. 孤独的；孤立的
long-range[]长期的；大范围的
long-standing[]a. 长时间的
long-term[]a. 长期的；长远的
loom[lu:m]vi. 隐隐呈现
loop[lu:p]vt. 打环；成圈
lopsided[l0p'saidid]a. 不平衡的；倾侧的
lordly['l0:dli]a. 贵族气派的；高贵的
lovelorn['l3vl0:n]a. 因失恋而憔悴的
loyalist['l0i2list]n. (美国独立战争时期)亲英分子
lubrication['lu:bri'kei6n]n. 润滑
lubricator[]n. 润滑器
lucrative['lu:kr2tiv]a. 赚钱的
lull[l3l]vt. 使安静
lumber['l3mb2]n. 木材
lump[l3mp]n. 块
lunar['lju:n2]a. 月的
lure[lju2]vt. 吸引；引诱
luxurious[l3g'zju2ri2s]a. 奢侈的
luxury['l3k62ri]n. 奢侈
lyric['lirik]n. 抒情诗，歌词
lyrically[]ad. 抒情地；热情奔放地
magenta[m2'd7ent2]n. 品红色，洋红色
magical['m9d7ik2l]a. 魔术的；神奇的
magna[]n. 岩浆
magnetize['m9gnitaiz]vt. 使磁化
magnification[m9gnifi'kei62n]n. 放大
magnify['m9gnifai]vt. 放大
mainsheet['mein6i:t]n. 主帆索
mainstay[]n. 主流；主要资源
maintain[mein'tein]vt. 维修；主张；维持
maintenance['meintin2ns]n. 保养；维持
majestic[m2'd7estik]a. 雄伟的；壮丽的
majority[m2'd70riti]n. 大多数人
make[meik]n. 牌子；型号
mammal['m9ml]n. 哺乳动物
mammalian[m9'meilj2n]a. 哺乳动物的
mammoth['m9m24]n. 毛象(古哺乳动物，近似现代的象)；庞然大物
management['m9nid7m2nt]n. 管理部门
maneuver[m2'nu:v2]n. 策略；花招
mantle['m9ntl]n. 地幔
margin['ma:d7in]n. 边缘
marine[m2'ri:n]a. 海洋的
mark[ma:k]vt. 标志
markedly['m1:kidli]ad. 显著地
market['ma:kit]vt. 销售；出售
marketing['m1:kiti:8]n. 销售
marketplace['ma:kitpleis]n. 市场
marriage['m9rid7]n. 结合；结婚
marshy['m1:6i]a. 沼泽地的
marvel['ma:v2l]n. 奇迹
masonry['meisnri]n. 砖土建筑
mass[m9s]n. (聚成一体的)团；快，堆v. 集中，聚集
mass-scale[]a. 大规模的
massive['m9siv]a. 粗大的
mast[ma:st]n. 船桅
masterpiece['ma:st2pi:s]n. 杰作；名作
match[m9t6]vt. 使相称；使相配n. 相配的人或物；对手
materialize[m2'ti2ri2laiz]vi. 实现；具体化；物质化
mathematical[m94i'm9tik2l]a. 精确的；数学的
matron['meitr2n]n. (妇女团体)总干事；女总管
matter['m9t2]vi. 要紧；有关系
maturity[m2'tju2riti]n. 成熟
maximum['m9ksim2m]n. 最大限度
meander[mi'9nd2]vi. 蜿蜒而流
means[mi:nz]n. (单复数同)手段；方法， (复)金钱，财力
measure['me72]vt. 测量
measurement['me72m2nt]n. 测量；衡量(方法)
mechanic[mi'k9nik]n. 机(械)工
mechanics[mi'k9niks]n. 构成；机制
mechanism['mek2niz2m]n. 机理；机制
mechanized[]a. 机械的
medium['mi:dj2m]n. 媒介，手段；方法
megawatts[]n. 兆瓦
melange[mei'l1:8]n. 混合物；大杂烩
melody['mel2di]n. 旋律
melt[melt]vi. 融化
membership['memb26ip]n. 会员身份
memorandum[mem2'r9nd2m]n. 备忘录
memorization[mem2'rizei62n]n. 熟记
merit['merit]n. 价值；优点
mesmerize['mesm2raiz]vt. 使入迷
mesquite[]n. 牧豆树
metabolic[met2'b0lik]a. 新陈代谢的
metabolism[m2't9bliz2m]n. 新陈代谢
metallic[mi't9lik]a. 金属的
metallurgy[me't9l2d7i]n. 冶金术；冶金学
metazoan[met2'zou2n]n. 后生动物，多细胞动物
meteorite['mi:tj2rait]n. 陨石；流星
metropolis[mi'tr0p2lis]n. 大城市
metropolitan[metr2'p0lit2n]a. 大城市的
miasmic[mi'9zmik, mai-]a. 瘅气的；有害的
microbe['maikroub]n. 微生物
micron['maikr0n]n. 微米
microscope['maikr2sk2up]n. 显微镜
microscopic[maikr2s'k0pik]a. 微小的
midfacial[]a. 脸中部的
midwife['midwaif]n. 接生员
migration[mai'grei62n]n. 迁徙
mild[maild]a. 温和的
milieu['mi:lj2:]n. 周围环境
militant['milit2nt]a. 好斗的
mill[mil]n. 工厂；磨坊
millennium[mi'leni2m]n. (复数millennia)一千年，千年期
millimeter[mai'l0mit2]n. 毫米
mime[maim]vt. 以滑稽剧的形式表演；模拟
mimetic[mi'metik]a. 模仿的
mimic['mimik]n. 模仿者
mine[main]vt. 开采
mineral['min2r2l]n. 矿物
minimal['miniml]a. 最小的；最低限度的
minimalist['min2m2list]n. 极简抽象派艺术的
minimize['minimaiz]vt. 最小化
minimum['minim2m]n. 最低限度
ministry['ministri]n. 过渡；变革
mint[mint]n. 铸币厂
minute['minit, mai'nju:t]a. 微小的
mirage['mir1:7]n. 海市蜃楼；幻景
misconception['misk2n'sep62n]n. 误解，错误的印象
mission['mi62n]n. 任务；使命，天职
missionary['mi62n2ri]n. 传教士
mistrust[mis'tr3st]vt. 不信任；怀疑
mitigate['mitigeit]vt. 减轻；缓和
mobile['m2ubail]a. 流动的
mobility[m2u'biliti]n. 流动性
mobilize['m2ubilaiz]vt. 动员
mode[m2ud]n. 方式
model['m0dl]n. 模型
modem[]n. 调制解调器
modest['m0dist]a. 不过分的，不太多的；廉虚的，适度的
modestly['m0distli]ad. 谦虚地
modify['m0difai]vt. 改变
moisture['m0ist62]n. 潮湿；湿度
molasses[m2'l9siz]n. (单复数同)糖蜜
mold[m2uld]vt. 浇铸
moldy['mouldi]a. 发霉的
molecule['m0likju:l]n. 分子
mollusk['m0l2sk]n. 软体动物
monitor['m0nit2]vt. 检测；监控
monochrome['m0n2kroum]a. 单色的
monogamous[m0'n0g2m2s]a. 一雄一雌的；单配的
monotonous[m2'n0t2n2s]a. 单调的
monster['m0nst2]n. 怪物；巨兽
monument['m0njum2nt]n. 纪念碑
mood[mu:d]n. 情绪
moral['m0r2l]a. 道德的；有寓义的，n. (常用复数)道德规范；伦理学
morphological[]a. 形态的
mortal['m0:tl]n. 人
mosaic[m2'zeiik]n. 交织，拼凑；马赛克
moth[m04]n. 蛾
motif[mou'ti:f]n. 主题
motivate['m2utiveit]vt. 激起
motivation[m2uti'vei62n]n. 动机
motorcycle['mout2saikl]n. 摩托车
mount[maunt]vi. (在数量上)增加；增长
multifunctional[]a. 多功能的
multiplication[m3ltipli'kei62n]n. 乘法
multiply['m3ltiplai]vi. 繁殖；增加
mundane['m3ndein]a. 尘世的；世俗的
municipal[mju:'nisip2l]a. 市(政)的
mural['mjur2l]n. 壁画
muscle['m3sl]n. 肌肉
musicologist[mju:zi'k0l2d7ist]n. 音乐理论家
mutation[mju:'tei62n]n. 变化
mycology[mai'k0l2d7i]n. 真菌学
myriad['miri2d]n. 无数，极大数量
mysterious[mis'ti2ri2s]a. 神秘的
mystery['mist2ri]n. 神秘
mystical['mistikl]a. 神秘的
mystify['mistifai]vt. 使...大为吃惊；使神秘化
myth[mi4]n. 神话
mythological[mi42'l0d7ikl]a. 神话的
naive[na:'i:v]a. 幼稚的；天真的
namely['neimli]ad. 即，那就是
narration[n9'rei62n]n. 叙述
narrator[n2'reit2]n. 讲述者
narwhal[]n.独角鲸
nascent['n9snt]a. 新生的，诞生中的
native['neitiv]a. 本地的
nature['neit62]n. 性质
navigate['n9vigeit]vi. 飞行；航行
navigational['n9vi'gei62n2l]a. 航海的；航行的
nectar['nekt2]n. 花蜜；甘露
negative['neg2tiv]a. 消极的；负面的
neglect[ni'glekt]n. 忽视；忽略
negligibly[]ad. 微不足道的；极小的
negotiation[nig2u6i'ei62n]n. 谈判
Neolithic[ni:2'li4ik]a. 新石器时代的
Neptune['neptju:n]海王星
nerve-tingling[]a. 神经紧张的
net[net]a. 纯的；净的
network['netw2:k]n. 网络
neutral['nju:tr2l]a. 中立的
niche[nait6]n. 小生境；生态龛
nickel['nikl]n. 镍
nickle[]n. 5美分
nickname['nikneim]n. 绰号；
nightmare['naitm/2]n. 恶梦
nitinol[]n. 镍钛诺
nitrate['naitreit]n. 硝酸盐
nitrogen['naitrid72n]n. 氮
nonconformity[n0nk2n'f0:miti]n. 不墨守成规
nondramatic[]a. 非戏剧的
nonfiction[n0n'fik62n]n. 非小说类写实文学
normal['n0:ml]a. 正常的
nostalgia[na'st9ld7i2]n. 怀旧；思乡病
notably['n2ut2bli]ad. 显著地；值得注意地
note[n2ut]vt. 注意，留意
notion['n2u62n]n. 概念；想法
notwithstanding[n0twi4'st9ndi8]prep. 尽管；还是
nourishment['n3ri6m2nt]n. 食物；营养品
noxious['n0k62s]a. 有害的，有毒的
numerical[nju'merik2l]a. 数字的
nutrient['njutri2nt]n. 营养品，滋养物
nutrition[nju:'tri62n]n. 营养
nutritional[]a. 营养的
nutritionist[nju:'tri62nist]n. 营养学家
nutritious[nju:'tri62s]a. 有营养的
object['0bd7ikt 2b'd7ekt]vt. 反对，n. 物体，目的；目标；宗旨
objectify[0b'd7ektifai]vt. 使具体化；使客观化
objective[0b'd7ektiv]a. 客观的；真实的，n. 目的
obligation[0bli'gei62n]n. 义务，责任
obliging[2'blaid7i8]a. 热心助人的；体贴的；有礼貌的
oblivious[2'blivi2s]a. 不注意的；忘却的
obscure[2b'skju2]a. 费解的；模糊
observation[0bz2:'vei62n]n. 观察
observe[2b'z2:v]vt. 注意；观察
obsession[2b'se62n]n. 着迷；困扰
obsolete['0bs2li:t]a. 废弃的；过时的
obstacle['0bst2kl]n. 障碍
obstruct[2bs'tr3kt]vt. 妨碍
odd[0d]a. 古怪的
odds[0dz]n. (复)投注赔率；机会；可能性
odor['2ud2]n. 气味
off-Broadway[]非百老汇戏剧界
off-road[]越野的；路旁的
offensive[2'fensiv]n. 进攻
office['0fis]n. 职位
offshore['0f60:]a. 近海的，沿岸的；离岸的
offspring['0(:)fspri8]n. 后代
oilskins[]n. 油布衣裤
ongoing[0ngoui8]a. 进行中的
onlooker['anluk2]n. 旁观者
onset['0nset]n. 开始
ooze[u:z]n. 渗出物
operate['0p2reit]vi. 运动
operation[0p2'rei62n]n. 运转；操作
opponent[2'p2un2nt]n. 对手
oppose[2'p2uz]vt. 反对
opposition[0p2'zi62n]n. 反对；敌对
optimum['0ptimi2m]a. 最佳的；最适度的
optometrist[0p't0mitrist]n. 配镜师
orbit['0:bit]vt. 围绕，n. 轨道
orbital['0:bitl]a. 轨道的
orchestra['0:kistr2]n. 管弦乐队
orchid['0rkid]n. 兰花
ordinance['0:din2ns]n. 法令；条例
ordnance['0:dn2ns]n. 军械
ore[0:]n. 矿石
organ['0:g2n]n. 风琴
organism['0:g2niz2m]n. 生物，有机体
oriented[]a. 以...为方向的，重视的
origin['0rid7in]n. 起源
originally[2'rid72n2li]ad. 起初；原来
originate[2'rid7ineit]vt. 创始
originator[]n. 创始人
ornamental[0:n2'mentl]a. 装饰的
ornamentation['0:n2men'tei6n]n. 装饰
orphanage['0:f2nid7]n. 孤儿院
oust[aust]vt. 驱逐
out-of-towner['aut2v'taun2]来自城外的人
outbreak['autbreik]n. 爆发
outcome['autk2m]n. 结果；结局
outcry['autkrai]n. 呼叫；呐喊
outermost['aut2m2ust]a. 最外的；离中心最远的
outgrow[aut'grou]vt. 发展得...不再够用
outgrowth['autgrou4]n. 产地
outline['aut-lain]vt. 描绘；画出...的轮廓
outlying['autlaii8]a. 远离中心的；边远的
output['autput]n. 输出
outright['autrait]a. 彻底的
outstanding[aut'st9ndi8]a. 著名的，杰出的
outweigh[aut'wei]vt. 超过
overall['2uv2r0:l]a. 总的；全面的
overburden[ouv2'b2:dn]vt. 使负担过重
overcome[2uv2'k3m]vt. 战胜
overcrowd[ouv2'kraud]vi. 过度拥挤
overgraze['ouv2'greiz]v. 过度放牧
overlap[2uv2'l9p]n. 重叠
overlapping[]n. 重叠
overlook[2uv2'luk]vt. 忽视
overnight['2uv2nait]ad. 一夜之间；突然
override[ouv2'raid]vt. 制服；压倒
overshadow[2uv2'69d2u]vt. 使显行不重要
oversight['ouv2sait]n. 忽略；失察
overt['2uv2:t]a. 公开的；明显的
overturning[]n. 推翻
overwhelm[2uv2'hwelm]vt. 征服，压倒
overwhelming[2uv2'hwelmi8]a. 势不可挡的，压倒的
oyster['0ist2]n. 牡蛎
pace[peis]n. 速度
package['p9kid7]n. 一揽子，一整套
packed[p9kt]a. 压紧的
paddle['p9dl]n. 鳍状前枝；桨
painstaking['peinzteiki8]a. 刻苦的
palatable['p9l2t2bl]a. 好吃的；美味的
pale[peil]a. 暗淡的
pamphlet['p9mflit]n. 小册子
pancreas['p98kri2s]n. (解)胰(腺)的
pants[p9nts]n. (复)裤子
parallel['p9r2lel]vt. 摆好姿势，与...并驾齐驱
paralyze['p9r2laiz]vt. 麻醉；使瘫痪
paraphrase['p9r2freiz]vt. 释义
parasite['p9r2sait]n. 寄生虫
parasite['p9r2sait]n. 寄生虫
parasitic[p9r2'sitik]a. 寄生的
parcel['pa:sl]n. (土地)一块；一片，包裹
parental[p2'rentl]a. 亲本的
parliament['pa:l2m2nt]n. 议会；国会
parlor['pa:l2]n. 客厅
partial['pa:62l]a. 部分的
partially['pa:62li]ad. 部分地
participation[pa:tisi'pei62n]n. 参与
particle['pa:tikl]n. 微粒
particularly[p2'tikjul2li]ad. 特别地
partner['pa:tn2]n. 合作者
party['pa:ti]n. (共同工作的)队，组
passage['p9sid7]n. 经过；通过
patent['peit2nt]vt. 取得...专利，n. 特许，专利
paternal[p2't2:nl]a. 父亲的
patriarch['peitria:ki]n. 家长；族长
patriarchal[peitri'1:kl]a. 族长的；家长的
patriot['peitri2t]n. 爱国者
patron['peitr2n]n. 主顾；赞助人；庇护人
patronage['p9tr2nid7]n. 资助；恩惠
pattern['p9t2n]n. 模式，图案；花样
peak[pi:k]a. 高峰的
pearly['p2:li]a. 珠色的；珍珠似的
pebble['pebl]n. 小石子
peculiar[pi'kju:lj2]a. 独特的；特有的
peculiarity[pikju:li'9riti]n. 特性；特质
pedagogy['ped2goud7i]n. 教学法；教育学
pedal['pedl]n. 踏板
pedestrian[pi'destri2n]n. 行人；步行者
peer[pi2]n. 伙伴
penal['pi:nl]a. 刑罚场所的
penalty['penlti]n. 处罚，惩罚
penchant['pent62nt]n. 嗜好
pentagon['pent2g2n]n. 五边形
perceive[p2'si:v]vt. 认为；意识到
percentage[p2'sentid7]n. 百分比
perception[p2'sep62n]n. 看法；认识；感觉
percussion[p2'k362n]n. 打击乐器
percussive[p2'k3siv]a. 打击乐器的
perennial[p2'renj2l]a. 终年的；多年生长的
perfect['p2:fikt, 'p2:fekt]vt. 改善；使完美
perform[p2'f0:m]vt. 执行；履行，表演
periodical[pi2ri'0dik2l]n. 期刊
peripheral[p2'rif2r2l]a. 次要的；无关紧要的
periphery[p2'rif2ri]n. 边缘地区
perishable['peri62bl]a. 易腐烂的；易消亡的
permanent['p2:m2n2nt]a. 永久性的
permanently['p2:m2n2ntli]ad. 永久地
perpetual[p2'pet6u2l]a. 永久的，永恒的
perpetuate[p2'petjueit]vt. 使繁衍不绝；使永久
perplexing[p2'pleksi8]a. 使人困感；令人费解的
persevere[p2:si'vi2]vi. 坚持不懈；不屈不挠
persist[p2:'sist]vi. 存留，持续；坚持不懈
persistent[p2(:)'sist2nt]a. 顽强的；坚持的
personality[p2:s2'n9liti]n. 个性；人格
personalize['p2:s2laiz]vt. 个性化
perspective[p2:'spektiv]n. 透视
persuasive[p2:'sweisiv]a. 有说服力的；令人信服的
pervasive[p2'veisiv]a. 遍布的；弥漫的
pest[pest]n. 害虫
pestilential[pestil'en62l]a. 有害的；引起瘟疫的
pet[pet]n. 宠物
petal['petl]n. 花瓣
petrify['petrifai]vt. 使石化；使僵化；使惊呆
petroleum[pi'tr2ulj2m]n. 石油
phase[feiz]n. 方面；阶段
phase[feiz]n. (物，化)相
phase[feiz]n. 阶段
phenomenon[fi'n0min2n]n. 现象
phenomenon[fi'n0min2n]n. (复数phenomena) 现象
philanthropist[fi'l9n4r2pist]n. 慈善家
photoconductive['fout2k2n'd3ktiv]a. 光电导的
photosphere['fout2sfi2]n. 光球；光球层
photosynthetic[]a. 光合的，促进光合作用的
physical['fizik2l]a. 自然的
pickax[]n. 鹤嘴锄
pictograph[pikt2'gr1:f]n. 象形字
picture['pikt62]n. 事态，情况
piece[pi:s]n. (乐队人员的)一员
pigment['pigm2nt]n. 颜料
pile[pail]n. 堆
piling['paili8]n. 桩木
piling['paili8]n. 桩
pilot['pail2t]a. 试验性的
pilot['pail2t]n. 飞行员
pinhead['pinhed]n. 针头，别针
piston['pist2n]n. 活塞
pit[pit]n. 小凹陷
pivotal['piv2tl]a. 关键的；枢轴的
place[pleis]vt. 放置
plague[pleig]n. 瘟疫；灾害
plainspoken['plein'spouk2n]a. 直言不讳的
plainwire[]铁丝
plane[plein]n. 平面
planetary['pl9nit2ri]a. 行星的
plankton['pl98kt2n]n. 浮游动物
plaque[pl1:k]n. 匾，饰板
plate[pleit]n. 感光板；阳极；极板
plate[pleit]n. 板子
plate[pleit]n. 板块
platypus['pl9tip2s]n. 鸭嘴兽
playground['pleigraund]n. 运动场
plight[plait]n. 困境
plight[plait]n. 境况，困境
plot[pl0t]n. 一块地
plot[pl0t]n. 情节
plot[pl0t]n. 情节
plot[pl0t]vt. 计划；密谋
plot[pl0t]vt. 把(土地)分成小块，划分
plum[pl3m]n. 美差；肥缺
plumbing['pl3mi8]n. 水管装置
plummet['pl3mit]vi. 骤然下降
plunge[pl3nd7]vt. 投入
poetic[p2u'etik]a. 诗的
poikilothermic[]a. 变温动物的
polarity[p2u'l9riti]n. 极性
polish['p0li6]vt. 擦光亮
pollen['p0lin]n. 花粉
pollutant[p2'lu:t2nt]n. 污染物质
pollute[p2'lju:t]vt. 污染
polygon['p0lig2n]n. 多角形
ponytail['pouniteil]n. 风尾
pool[pu:l]n. 集中起来的一批人
populated[]a. 人口稠密的
populous['p0pjul2s]a. 人口稠密的
porcupine['p0:kjupain]n. 豪猪
porpoise['p0:p2s]n. 海豚
portion['p0:62n]n. 部分
portion['p0:62n]n. 部分
portion['p0:62n]n. 部分
portray[p0:'trei]vt. 描绘；描述
portrayal[p0:'trei2l]n. 描绘；描写
pose[p2uz]vt. 造成；形成
pose[p2uz]n. 姿势
posit['p0zit]vt. 假设；假定
position[p2'zi62n]n. 姿势
positive['p0z2tiv]a. 正面的
positive['p0z2tiv]a. 肯定的，积极的
possessed[]p.p. 着魔；如疾如狂
poster['p2ust2]n. 招巾；海报
posthumous['p0sthjum2s]a. 著作者死后出版的；死后的
postmodern[]a. 后现代主义的；后现代派的
potent['p2ut2nt]a. 强有力的
potential[p2'ten62l]n. 可能性；潜力；潜能
potential[p2'ten62l]n. 可能性；潜能
potential[p2'ten62l]a. 潜在的；可能的
potentiality[p2ten6i'9liti]n. 潜力；潜能
potion['pou62n]n. 波掀洒
pottery['p0t2ri]n. 陶器
pound[paund]vi. (连续)猛击
pour[p0:]vt. 灌水
practicality[pr9kti'k9liti]ad. 实用性
practice['pr9ktis]v. 经常作；实践
prairie['pr/2ri]n. 大草原
